cluster,cluster_name,n,median_books,median_elec,mean_books,mean_elec,H,p_raw,epsilon_sq,p_fdr,sig_fdr,higher
0,Product Reference,1387,4.0,4.0,11.04,13.24,0.073,0.7869828378428776,5e-05,0.8177003744659221,False,Electronics
1,Acquisition Narrative,1060,4.0,5.0,9.25,14.86,4.105,0.042765672119643335,0.00388,0.08553134423928667,False,Electronics
2,Evaluative Positioning,807,4.0,4.0,9.51,10.87,1.525,0.21681149421479237,0.00189,0.2890819922863898,False,Electronics
3,Direct Evaluation,2142,4.0,5.0,9.91,12.85,10.625,0.0011153985522458934,0.00496,0.008923188417967147,True,Electronics
4,Specific Identification,1012,4.0,5.0,10.84,14.24,5.373,0.02044654371372757,0.00531,0.08178617485491028,False,Electronics
5,Affective Stance,1169,4.0,4.0,9.62,10.73,0.053,0.8177003744659221,5e-05,0.8177003744659221,False,Electronics
6,Contextual Framing,1434,4.0,4.0,10.35,13.43,2.283,0.1308115330441694,0.00159,0.20929845287067103,False,Electronics
7,Terse Evaluation,988,4.0,3.5,13.13,10.56,4.141,0.04186478530632088,0.0042,0.08553134423928667,False,Books
